time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,198.7,285.5,359.8,0,0,,,,
0,2,Atta_2,223.7,1300.0,3.5,0,0,,,,
0,3,Atta_3,228.7,632.0,0.4,0,0,,,,
0,4,Atta_4,336.8,963.6,359.4,0,0,,,,
0.025,3,Atta_3,224.4,629.6,0.1,-4.9,-0.3,,,,
0.083,1,Atta_1,204.3,288.3,359.7,6.3,-0.1,,,,
0.083,2,Atta_2,216.6,1302.2,2.9,-7.4,-0.6,,,,
0.137,3,Atta_3,229.6,631.1,0.1,5.4,0.0,,,,
0.354,2,Atta_2,208.8,1305.2,2.6,-8.4,-0.3,,,,
0.354,3,Atta_3,422.0,663.2,2.1,195.1,2.0,,,,
0.421,1,Atta_1,190.2,282.7,358.9,-15.2,-0.8,,,,
0.421,3,Atta_3,407.7,659.4,1.3,-14.8,-0.8,,,,
0.481,1,Atta_1,200.4,287.2,359.5,11.1,0.6,,,,
0.481,2,Atta_2,217.9,1300.3,2.7,10.3,0.1,,,,
0.537,2,Atta_2,221.6,1298.8,2.9,4.0,0.2,,,,
0.659,1,Atta_1,213.5,293.8,359.4,14.7,-0.1,,,,
0.659,2,Atta_2,223.2,1310.2,2.5,11.5,-0.4,,,,
0.659,3,Atta_3,420.4,666.7,1.3,14.6,0.0,,,,
0.725,1,Atta_1,225.0,298.7,359.8,12.5,0.4,,,,
0.79,2,Atta_2,240.1,1304.7,4.1,17.8,1.6,,,,
0.842,1,Atta_1,196.8,286.7,359.2,-30.6,-0.6,,,,
0.842,2,Atta_2,234.2,1301.1,4.1,-6.9,0.0,,,,
0.903,1,Atta_1,189.5,282.9,359.2,-8.2,0.0,,,,
0.903,2,Atta_2,225.6,1298.0,3.7,-9.1,-0.4,,,,
0.966,1,Atta_1,202.3,287.8,359.2,13.7,0.0,,,,
0.966,2,Atta_2,232.4,1302.0,3.6,7.9,-0.1,,,,
1.03,2,Atta_2,227.6,1304.6,3.7,-5.5,0.1,,,,
