time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,139.1,1205.0,1.8,0,0,,,,
0,2,Atta_2,495.1,1539.3,263.0,0,0,,,,
0,3,Atta_3,225.3,359.7,3.0,0,0,,,,
0,4,Atta_4,532.0,74.5,85.1,0,0,,,,
-0.208,1,Atta_1,116.1,1199.6,2.1,-23.6,0.3,,,,
-0.208,2,Atta_2,485.4,1529.3,264.1,13.9,1.1,,,,
-0.208,3,Atta_3,171.2,337.4,1.4,-58.5,-1.6,,,,
-0.208,4,Atta_4,517.6,65.9,85.3,-16.8,0.2,,,,
0.025,1,Atta_1,142.2,1209.5,2.3,27.9,0.2,,,,
0.025,2,Atta_2,541.0,1518.0,271.6,56.7,7.5,,,,
0.025,3,Atta_3,204.1,353.7,2.2,36.7,0.8,,,,
0.025,4,Atta_4,537.6,76.3,84.6,22.5,-0.7,,,,
0.084,1,Atta_1,129.7,1203.2,2.2,-14.0,-0.1,,,,
0.084,2,Atta_2,507.6,1524.6,271.1,-34.0,-0.5,,,,
0.084,3,Atta_3,180.5,342.9,1.4,-26.0,-0.8,,,,
0.084,4,Atta_4,526.9,71.4,84.8,-11.8,0.2,,,,
0.139,1,Atta_1,142.4,1207.0,2.2,13.3,0.0,,,,
0.139,2,Atta_2,537.5,1516.3,271.6,31.0,0.5,,,,
0.139,3,Atta_3,161.0,338.3,1.2,-20.0,-0.2,,,,
0.139,4,Atta_4,538.0,77.3,84.8,12.6,0.0,,,,
0.193,1,Atta_1,133.4,1202.4,2.2,-10.1,0.0,,,,
0.193,2,Atta_2,528.6,1509.1,272.1,11.4,0.5,,,,
0.193,3,Atta_3,148.1,330.8,0.8,-14.9,-0.4,,,,
0.261,1,Atta_1,138.8,1207.8,2.3,7.6,0.1,,,,
0.261,2,Atta_2,537.6,1513.7,272.1,-10.1,0.0,,,,
0.261,3,Atta_3,161.0,338.3,0.8,14.9,0.0,,,,
0.261,4,Atta_4,547.9,84.3,85.5,12.1,0.7,,,,
0.326,1,Atta_1,142.3,1209.7,2.4,4.0,0.1,,,,
0.326,2,Atta_2,529.9,1523.3,271.1,-12.3,-1.0,,,,
0.326,3,Atta_3,146.7,333.6,0.6,-15.1,-0.2,,,,
0.326,4,Atta_4,536.7,75.5,84.4,-14.2,-1.1,,,,
0.379,3,Atta_3,183.9,346.3,0.6,39.3,0.0,,,,
0.439,3,Atta_3,197.6,353.2,1.1,15.3,0.5,,,,
0.499,1,Atta_1,134.5,1206.9,2.3,-8.3,-0.1,,,,
0.499,2,Atta_2,529.2,1519.1,271.5,4.3,0.4,,,,
0.499,3,Atta_3,204.5,352.6,1.8,6.9,0.7,,,,
0.499,4,Atta_4,532.2,72.4,84.5,-5.5,0.1,,,,
0.559,1,Atta_1,140.8,1205.2,2.3,6.5,0.0,,,,
0.559,2,Atta_2,536.8,1514.0,271.8,9.2,0.3,,,,
0.559,3,Atta_3,193.2,349.5,1.1,-11.7,-0.7,,,,
0.559,4,Atta_4,537.3,76.2,84.9,6.4,0.4,,,,
0.624,1,Atta_1,146.4,1208.4,2.3,6.4,0.0,,,,
0.624,2,Atta_2,586.5,1490.0,272.1,55.2,0.3,,,,
0.624,4,Atta_4,544.8,81.3,85.0,9.1,0.1,,,,
0.726,4,Atta_4,550.4,85.1,85.2,6.8,0.2,,,,
