time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,186.3,253.3,3.8,0,0,,,,
0,2,Atta_2,191.4,556.4,359.7,0,0,,,,
0,3,Atta_3,207.1,791.8,359.1,0,0,,,,
0,4,Atta_4,224.2,1008.5,0.2,0,0,,,,
0,5,Atta_5,175.3,1367.0,359.5,0,0,,,,
0,6,Atta_6,198.3,1574.3,358.5,0,0,,,,
0,7,Atta_7,190.3,1796.3,2.5,0,0,,,,
0,8,Atta_8,232.9,2010.5,358.8,0,0,,,,
0,9,Atta_9,245.7,2297.7,1.6,0,0,,,,
0,10,Atta_10,211.8,2511.3,1.5,0,0,,,,
-0.274,1,Atta_1,183.0,224.2,355.6,-29.3,-8.2,,,,
-0.274,2,Atta_2,169.1,487.6,357.7,-72.3,-2.0,,,,
-0.274,3,Atta_3,184.6,858.3,359.6,-70.2,0.5,,,,
-0.274,4,Atta_4,177.6,1018.0,356.1,-47.6,-4.1,,,,
-0.274,5,Atta_5,229.1,1289.6,355.3,94.3,-4.2,,,,
-0.274,6,Atta_6,239.1,1503.5,356.6,81.7,-1.9,,,,
-0.274,7,Atta_7,163.6,1760.4,1.0,-44.7,-1.5,,,,
-0.274,8,Atta_8,167.8,2011.3,359.0,-65.1,0.2,,,,
-0.274,9,Atta_9,207.3,2277.8,0.1,-43.3,-1.5,,,,
0.029,1,Atta_1,200.3,271.2,339.4,50.1,-16.2,,,,
0.029,2,Atta_2,223.9,526.4,335.9,67.1,-21.8,,,,
0.029,3,Atta_3,203.5,727.9,339.4,131.8,-20.2,,,,
0.029,4,Atta_4,208.4,996.3,338.4,37.7,-17.7,,,,
0.029,5,Atta_5,227.0,1289.8,339.0,-2.1,-16.3,,,,
0.029,6,Atta_6,187.8,1511.4,336.6,-51.9,-20.0,,,,
0.029,7,Atta_7,225.8,1779.6,341.6,65.1,-19.4,,,,
0.029,8,Atta_8,232.7,2056.1,341.0,78.9,-18.0,,,,
0.029,9,Atta_9,172.4,2283.4,341.7,-35.3,-18.4,,,,
0.029,10,Atta_10,206.3,2550.5,338.0,-39.6,-23.5,,,,
0.086,1,Atta_1,178.6,336.0,336.4,-68.3,-3.0,,,,
0.086,2,Atta_2,214.0,565.2,332.9,-40.0,-3.0,,,,
0.086,3,Atta_3,198.1,743.7,332.9,-16.7,-6.5,,,,
0.086,4,Atta_4,194.4,988.4,333.4,-16.1,-5.0,,,,
0.086,5,Atta_5,257.4,1333.0,335.9,52.8,-3.1,,,,
0.086,6,Atta_6,192.9,1590.8,336.1,-79.6,-0.5,,,,
0.086,7,Atta_7,237.1,1774.1,339.7,12.6,-1.9,,,,
0.086,8,Atta_8,214.3,2044.5,336.0,-21.8,-5.0,,,,
0.086,9,Atta_9,172.7,2312.7,336.4,-29.3,-5.3,,,,
0.086,10,Atta_10,196.7,2550.7,335.4,-9.6,-2.6,,,,
0.152,1,Atta_1,132.5,276.9,331.2,-75.0,-5.2,,,,
0.152,2,Atta_2,230.3,517.9,337.0,50.0,4.1,,,,
0.152,3,Atta_3,186.0,792.8,331.3,-50.6,-1.6,,,,
0.152,4,Atta_4,225.5,985.1,331.5,31.3,-1.9,,,,
0.152,5,Atta_5,154.5,1246.0,328.3,-134.7,-7.6,,,,
0.152,6,Atta_6,203.5,1531.0,338.1,60.7,2.0,,,,
0.152,7,Atta_7,167.5,1772.9,331.0,-69.6,-8.7,,,,
0.152,8,Atta_8,179.0,2047.6,329.5,-35.4,-6.5,,,,
0.152,9,Atta_9,208.0,2249.1,332.1,72.7,-4.3,,,,
0.152,10,Atta_10,214.5,2506.6,329.7,47.6,-5.7,,,,
0.218,1,Atta_1,215.5,306.3,325.0,88.1,-6.2,,,,
