time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,177.6,249.2,2.0,0,0,,,,
0,2,Atta_2,153.5,498.8,359.6,0,0,,,,
0,3,Atta_3,177.5,799.2,356.8,0,0,,,,
0,4,Atta_4,179.4,1062.1,357.5,0,0,,,,
0,5,Atta_5,163.4,1345.1,0.4,0,0,,,,
0,6,Atta_6,254.3,1507.4,356.8,0,0,,,,
0,7,Atta_7,116.8,1769.1,359.5,0,0,,,,
0,8,Atta_8,158.2,2051.8,357.9,0,0,,,,
0,9,Atta_9,195.7,2251.6,357.8,0,0,,,,
0,10,Atta_10,159.4,2544.4,358.7,0,0,,,,
-0.267,1,Atta_1,204.1,276.8,359.0,38.3,-3.0,,,,
-0.267,2,Atta_2,173.5,494.0,358.6,20.6,-1.0,,,,
-0.267,3,Atta_3,250.5,758.8,358.6,83.4,1.8,,,,
-0.267,4,Atta_4,234.1,1072.6,3.8,55.7,6.3,,,,
-0.267,5,Atta_5,182.3,1234.9,356.8,111.8,-3.6,,,,
-0.267,6,Atta_6,163.1,1554.8,0.6,-102.8,3.8,,,,
-0.267,7,Atta_7,193.2,1803.2,356.0,83.7,-3.5,,,,
-0.267,8,Atta_8,217.9,2037.7,0.2,61.3,2.3,,,,
-0.267,9,Atta_9,202.4,2258.3,3.5,9.5,5.7,,,,
-0.267,10,Atta_10,252.4,2554.3,0.3,93.5,1.6,,,,
0.04,1,Atta_1,224.8,259.2,338.2,27.2,-20.8,,,,
0.04,2,Atta_2,179.7,561.0,340.0,67.3,-18.6,,,,
0.04,3,Atta_3,207.1,770.2,341.4,-44.9,-17.2,,,,
0.04,4,Atta_4,238.8,997.2,342.4,-75.5,-21.4,,,,
0.04,5,Atta_5,194.4,1261.9,343.2,29.6,-13.6,,,,
0.04,6,Atta_6,246.0,1521.6,343.4,89.3,-17.2,,,,
0.04,7,Atta_7,176.6,1782.4,340.5,-26.6,-15.5,,,,
0.04,8,Atta_8,173.1,1983.9,347.4,-70.0,-12.8,,,,
0.04,9,Atta_9,237.2,2320.2,343.3,71.0,-20.2,,,,
0.04,10,Atta_10,136.4,2511.1,342.0,-123.8,-18.3,,,,
0.099,1,Atta_1,178.2,297.4,336.8,-60.3,-1.4,,,,
0.099,2,Atta_2,180.8,538.3,338.1,22.7,-1.9,,,,
0.099,3,Atta_3,207.6,768.9,334.7,1.4,-6.7,,,,
0.099,4,Atta_4,204.5,1011.8,337.7,-37.3,-4.7,,,,
0.099,5,Atta_5,214.7,1243.4,333.6,27.5,-9.6,,,,
0.099,6,Atta_6,225.3,1578.9,338.3,-60.9,-5.1,,,,
0.099,7,Atta_7,221.6,1773.1,336.0,46.0,-4.5,,,,
0.099,8,Atta_8,200.9,2040.0,338.7,62.6,-8.7,,,,
0.099,9,Atta_9,200.0,2288.0,340.0,-49.2,-3.3,,,,
0.099,10,Atta_10,202.8,2507.6,340.7,66.5,-1.3,,,,
0.165,1,Atta_1,202.7,295.0,329.8,24.6,-7.0,,,,
0.165,2,Atta_2,196.5,544.7,328.3,17.0,-9.8,,,,
0.165,3,Atta_3,213.7,791.6,331.9,-23.5,-2.8,,,,
0.165,4,Atta_4,167.0,1053.9,330.9,-56.4,-6.8,,,,
0.165,5,Atta_5,213.2,1275.3,332.2,-31.9,-1.4,,,,
0.165,6,Atta_6,185.3,1541.4,332.8,-54.8,-5.5,,,,
0.165,7,Atta_7,235.3,1784.5,332.6,17.8,-3.4,,,,
0.165,8,Atta_8,194.1,1990.4,331.6,50.1,-7.1,,,,
0.165,9,Atta_9,162.6,2290.7,337.4,-37.5,-2.6,,,,
0.165,10,Atta_10,198.0,2544.8,334.7,-37.5,-6.0,,,,
0.215,1,Atta_1,164.7,264.4,328.1,-48.8,-1.7,,,,
0.215,2,Atta_2,211.4,554.7,327.3,17.9,-1.0,,,,
0.215,3,Atta_3,206.0,831.6,324.9,-40.7,-7.0,,,,
0.215,4,Atta_4,242.4,1050.0,328.4,75.5,-2.5,,,,
0.215,5,Atta_5,182.2,1246.3,326.5,-42.4,-5.7,,,,
0.215,6,Atta_6,209.4,1503.9,329.8,44.6,-3.0,,,,
0.215,7,Atta_7,152.6,1766.9,324.3,-84.6,-8.3,,,,
0.215,8,Atta_8,226.0,2054.3,332.5,-71.4,0.9,,,,
0.215,9,Atta_9,202.8,2205.8,330.9,93.9,-6.5,,,,
0.215,10,Atta_10,241.9,2476.5,330.4,81.2,-4.3,,,,
0.286,1,Atta_1,159.0,258.4,324.7,-8.3,-3.4,,,,
0.286,2,Atta_2,250.8,485.3,321.3,79.8,-6.0,,,,
0.286,3,Atta_3,220.8,731.7,320.7,101.0,-4.2,,,,
0.286,4,Atta_4,220.8,1046.8,323.1,-21.8,-5.3,,,,
0.286,5,Atta_5,186.0,1300.1,322.3,-53.9,-4.2,,,,
0.286,6,Atta_6,161.5,1515.9,325.0,-49.4,-4.8,,,,
0.286,7,Atta_7,202.2,1761.5,325.5,49.9,1.2,,,,
0.286,8,Atta_8,246.2,1988.3,324.8,69.0,-7.7,,,,
0.286,9,Atta_9,181.4,2246.3,326.2,-45.8,-4.7,,,,
0.286,10,Atta_10,204.3,2538.8,324.0,-72.8,-6.4,,,,
0.355,1,Atta_1,208.4,303.1,317.9,66.6,-6.8,,,,
0.355,2,Atta_2,186.3,541.4,317.5,-85.5,-3.8,,,,
0.355,3,Atta_3,194.9,764.9,320.7,-42.1,0.0,,,,
0.355,4,Atta_4,186.9,1074.8,319.7,-44.0,-3.4,,,,
0.355,5,Atta_5,174.8,1227.9,317.3,73.1,-5.0,,,,
0.355,6,Atta_6,188.2,1478.0,316.7,46.4,-8.3,,,,
0.355,7,Atta_7,237.4,1823.9,320.6,-71.6,-4.9,,,,
0.355,8,Atta_8,247.1,2054.8,322.9,-66.5,-1.9,,,,
0.355,9,Atta_9,244.9,2303.5,315.9,85.5,-10.3,,,,
0.355,10,Atta_10,237.2,2513.9,320.9,41.3,-3.1,,,,
0.425,1,Atta_1,158.1,243.2,316.3,78.2,-1.6,,,,
0.425,2,Atta_2,246.4,492.0,313.1,77.8,-4.4,,,,
0.425,3,Atta_3,246.6,811.8,314.8,69.8,-5.9,,,,
0.425,4,Atta_4,191.0,1054.1,316.6,21.1,-3.1,,,,
0.425,5,Atta_5,271.6,1258.1,315.2,101.4,-2.1,,,,
0.425,6,Atta_6,181.9,1507.1,313.1,-29.8,-3.6,,,,
0.425,7,Atta_7,204.5,1779.3,312.4,55.4,-8.2,,,,
0.425,8,Atta_8,183.9,1979.1,316.4,-98.6,-6.5,,,,
0.425,9,Atta_9,182.3,2222.0,317.6,102.8,1.7,,,,
0.425,10,Atta_10,229.1,2459.3,318.6,55.2,-2.3,,,,
0.491,1,Atta_1,191.5,286.2,310.4,-54.4,-5.9,,,,
0.491,2,Atta_2,176.4,571.8,306.4,-106.2,-6.7,,,,
0.491,3,Atta_3,159.9,774.1,310.8,-94.5,-4.0,,,,
0.491,4,Atta_4,184.4,998.7,308.0,55.8,-8.6,,,,
0.491,5,Atta_5,240.8,1228.2,310.1,-42.9,-5.1,,,,
0.491,6,Atta_6,200.9,1530.5,307.4,-30.1,-5.7,,,,
0.491,7,Atta_7,151.1,1788.1,309.4,-54.1,-3.0,,,,
0.491,8,Atta_8,244.6,2018.2,312.1,72.2,-4.3,,,,
0.491,9,Atta_9,221.6,2312.5,312.6,-98.7,-5.0,,,,
0.491,10,Atta_10,217.3,2614.5,316.8,-155.6,-1.8,,,,
0.56,1,Atta_1,192.3,284.8,304.3,1.6,-6.1,,,,
0.56,2,Atta_2,166.7,543.5,308.2,29.9,1.8,,,,
0.56,3,Atta_3,189.6,785.0,305.6,31.6,-5.2,,,,
0.56,4,Atta_4,234.0,978.2,305.4,53.7,-2.6,,,,
0.56,5,Atta_5,226.3,1254.3,307.4,-29.9,-2.7,,,,
0.56,7,Atta_7,203.4,1785.0,305.6,52.4,-3.8,,,,
0.56,8,Atta_8,220.4,2053.6,307.7,-42.9,-4.4,,,,
0.56,9,Atta_9,207.8,2257.8,308.3,56.4,-4.3,,,,
0.56,10,Atta_10,198.2,2532.8,310.7,83.9,-6.1,,,,
0.626,1,Atta_1,140.6,260.6,303.5,-57.1,-0.8,,,,
0.626,2,Atta_2,223.2,553.1,297.8,57.3,-10.4,,,,
0.626,3,Atta_3,235.8,798.9,302.0,48.2,-3.6,,,,
0.626,4,Atta_4,229.7,1013.6,299.1,-35.7,-6.3,,,,
0.626,5,Atta_5,203.4,1261.3,295.1,-23.9,-12.3,,,,
0.626,6,Atta_6,172.0,1513.6,300.3,-33.5,-7.1,,,,
0.626,7,Atta_7,176.1,1759.4,300.5,37.4,-5.1,,,,
0.626,8,Atta_8,179.6,2008.4,304.4,60.9,-3.3,,,,
0.626,9,Atta_9,174.3,2247.3,304.3,-35.1,-4.0,,,,
0.626,10,Atta_10,231.1,2515.3,302.0,37.3,-8.7,,,,
0.692,1,Atta_1,192.9,255.7,294.4,52.5,-9.1,,,,
0.692,2,Atta_2,199.7,529.5,293.9,33.3,-3.9,,,,
0.692,3,Atta_3,221.0,771.0,294.0,31.6,-8.0,,,,
0.692,4,Atta_4,265.4,1022.9,290.9,36.9,-8.2,,,,
0.692,5,Atta_5,217.4,1284.8,295.8,-27.4,0.7,,,,
0.692,6,Atta_6,201.5,1556.1,296.6,-51.7,-3.7,,,,
0.692,7,Atta_7,159.9,1808.5,295.0,-51.7,-5.5,,,,
0.692,8,Atta_8,181.5,2002.0,296.9,6.7,-7.5,,,,
0.692,9,Atta_9,235.3,2318.1,297.7,-93.5,-6.6,,,,
0.692,10,Atta_10,216.7,2519.2,300.2,-14.9,-1.8,,,,
0.758,1,Atta_1,165.8,299.1,290.1,-51.2,-4.3,,,,
0.758,2,Atta_2,173.1,558.7,293.7,-39.5,-0.2,,,,
0.758,3,Atta_3,175.3,744.1,288.4,53.0,-5.6,,,,
0.758,4,Atta_4,250.0,1050.2,290.7,-31.3,-0.2,,,,
0.758,5,Atta_5,242.0,1296.9,289.9,-27.4,-5.9,,,,
0.758,6,Atta_6,204.8,1507.0,292.6,49.2,-4.0,,,,
0.758,7,Atta_7,180.4,1793.9,288.8,25.2,-6.2,,,,
0.758,8,Atta_8,242.1,2015.3,294.8,62.0,-2.1,,,,
0.758,9,Atta_9,189.7,2328.5,297.0,-46.8,-0.7,,,,
0.758,10,Atta_10,176.7,2550.3,297.2,-50.7,-3.0,,,,
0.829,1,Atta_1,169.1,248.8,284.9,50.4,-5.2,,,,
0.829,2,Atta_2,179.0,532.6,289.0,26.8,-4.7,,,,
0.829,3,Atta_3,198.3,736.2,286.2,24.3,-2.2,,,,
0.829,4,Atta_4,238.0,1021.7,286.1,30.9,-4.6,,,,
0.829,5,Atta_5,156.6,1253.2,285.3,95.9,-4.6,,,,
0.829,6,Atta_6,257.6,1537.9,286.5,-61.2,-6.1,,,,
0.829,7,Atta_7,212.1,1777.8,284.6,35.6,-4.2,,,,
0.829,8,Atta_8,210.0,2020.7,290.7,-32.6,-4.1,,,,
0.829,9,Atta_9,168.2,2251.7,289.8,79.8,-7.2,,,,
0.829,10,Atta_10,196.7,2477.2,291.7,75.8,-5.5,,,,
0.891,1,Atta_1,186.6,247.9,285.2,17.5,0.3,,,,
0.891,2,Atta_2,170.7,557.0,283.3,-25.8,-5.7,,,,
0.891,3,Atta_3,215.4,854.8,280.6,-119.8,-5.6,,,,
0.891,4,Atta_4,175.5,1001.4,283.5,65.7,-2.6,,,,
0.891,5,Atta_5,180.0,1299.4,278.8,-51.8,-6.5,,,,
0.891,6,Atta_6,164.6,1519.6,281.5,-94.8,-5.0,,,,
0.891,7,Atta_7,138.4,1736.7,280.4,84.4,-4.2,,,,
0.891,8,Atta_8,225.2,2009.2,287.5,19.1,-3.2,,,,
0.891,9,Atta_9,189.1,2285.0,283.9,-39.3,-5.9,,,,
0.891,10,Atta_10,174.7,2486.9,284.8,-24.0,-6.9,,,,
0.961,1,Atta_1,259.9,345.2,280.4,-121.8,-4.8,,,,
0.961,2,Atta_2,213.5,486.7,276.0,82.3,-7.3,,,,
0.961,3,Atta_3,207.9,811.7,275.2,43.7,-5.4,,,,
0.961,4,Atta_4,175.8,989.7,277.0,11.7,-6.5,,,,
0.961,5,Atta_5,209.0,1264.1,276.8,45.7,-2.0,,,,
0.961,6,Atta_6,183.7,1497.4,277.2,29.3,-4.3,,,,
0.961,7,Atta_7,221.4,1779.0,280.3,-93.2,-0.1,,,,
0.961,8,Atta_8,222.4,2037.5,281.4,-28.4,-6.1,,,,
0.961,9,Atta_9,243.8,2276.5,283.1,55.4,-0.8,,,,
0.961,10,Atta_10,231.7,2528.3,277.7,-70.4,-7.1,,,,
1.027,1,Atta_1,226.4,263.2,272.1,88.6,-8.3,,,,
1.027,2,Atta_2,234.4,494.2,275.1,-22.2,-0.9,,,,
1.027,3,Atta_3,219.4,738.1,268.4,74.5,-6.8,,,,
1.027,4,Atta_4,230.5,1007.4,275.2,-57.5,-1.8,,,,
1.027,5,Atta_5,154.4,1328.0,274.7,-84.0,-2.1,,,,
1.027,6,Atta_6,208.3,1540.4,275.7,-49.5,-1.5,,,,
1.027,7,Atta_7,185.6,1812.4,277.8,-49.0,-2.5,,,,
1.027,8,Atta_8,191.3,2040.0,278.2,-31.2,-3.2,,,,
1.027,9,Atta_9,193.7,2291.5,280.6,-52.3,-2.5,,,,
1.027,10,Atta_10,114.7,2529.1,278.4,-117.0,0.7,,,,
1.095,1,Atta_1,243.8,271.8,270.6,-19.4,-1.5,,,,
