time,idrobot,robot,message
0.001,2,Atta_2,"DEBUG: -1, ID: 2, Atta_2 listo en puerto 6062"
0.002,1,Atta_1,"DEBUG: -1, ID: 1, Atta_1 listo en puerto 6061"
0.002,3,Atta_3,"DEBUG: -1, ID: 3, Atta_3 listo en puerto 6063"
0.002,4,Atta_4,"DEBUG: -1, ID: 4, Atta_4 listo en puerto 6064"
0.003,7,Atta_7,"DEBUG: -1, ID: 7, Atta_7 listo en puerto 6067"
0.003,5,Atta_5,"DEBUG: -1, ID: 5, Atta_5 listo en puerto 6065"
0.003,6,Atta_6,"DEBUG: -1, ID: 6, Atta_6 listo en puerto 6066"
0.003,8,Atta_8,"DEBUG: -1, ID: 8, Atta_8 listo en puerto 6068"
0.003,10,Atta_10,"DEBUG: -1, ID: 10, Atta_10 listo en puerto 6070"
0.004,9,Atta_9,"DEBUG: -1, ID: 9, Atta_9 listo en puerto 6069"
0.004,1,Atta_1,"DEBUG: -1, ID: 1, arena=3800x2800mm"
0.004,4,Atta_4,"DEBUG: -1, ID: 4, arena=3800x2800mm"
0.004,2,Atta_2,"DEBUG: -1, ID: 2, arena=3800x2800mm"
0.004,3,Atta_3,"DEBUG: -1, ID: 3, arena=3800x2800mm"
0.004,5,Atta_5,"DEBUG: -1, ID: 5, arena=3800x2800mm"
0.004,8,Atta_8,"DEBUG: -1, ID: 8, arena=3800x2800mm"
0.004,7,Atta_7,"DEBUG: -1, ID: 7, arena=3800x2800mm"
0.005,6,Atta_6,"DEBUG: -1, ID: 6, arena=3800x2800mm"
0.005,9,Atta_9,"DEBUG: -1, ID: 9, arena=3800x2800mm"
0.005,10,Atta_10,"DEBUG: -1, ID: 10, arena=3800x2800mm"
1.301,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.301,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.301,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.302,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.302,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.302,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.321,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-90.0° real=-87.8° err=-2.2° corr#0"
3.881,1,Atta_1,"DEBUG: -1, ID: 1, ir_range=0.05m"
3.881,5,Atta_5,"DEBUG: -1, ID: 5, ir_range=0.05m"
3.881,3,Atta_3,"DEBUG: -1, ID: 3, ir_range=0.05m"
3.881,6,Atta_6,"DEBUG: -1, ID: 6, ir_range=0.05m"
3.881,7,Atta_7,"DEBUG: -1, ID: 7, ir_range=0.05m"
3.881,8,Atta_8,"DEBUG: -1, ID: 8, ir_range=0.05m"
3.881,10,Atta_10,"DEBUG: -1, ID: 10, ir_range=0.05m"
3.881,2,Atta_2,"DEBUG: -1, ID: 2, ir_range=0.05m"
3.881,4,Atta_4,"DEBUG: -1, ID: 4, ir_range=0.05m"
3.882,9,Atta_9,"DEBUG: -1, ID: 9, ir_range=0.05m"
4.888,2,Atta_2,"DEBUG: -1, ID: 2, Random walk: 60s"
4.889,1,Atta_1,"DEBUG: -1, ID: 1, Random walk: 60s"
4.89,3,Atta_3,"DEBUG: -1, ID: 3, Random walk: 60s"
4.89,4,Atta_4,"DEBUG: -1, ID: 4, Random walk: 60s"
4.891,5,Atta_5,"DEBUG: -1, ID: 5, Random walk: 60s"
4.892,7,Atta_7,"DEBUG: -1, ID: 7, Random walk: 60s"
4.892,6,Atta_6,"DEBUG: -1, ID: 6, Random walk: 60s"
4.892,8,Atta_8,"DEBUG: -1, ID: 8, Random walk: 60s"
4.9,10,Atta_10,"DEBUG: -1, ID: 10, Random walk: 60s"
4.901,9,Atta_9,"DEBUG: -1, ID: 9, Random walk: 60s"
5.516,4,Atta_4,"DEBUG: -1, ID: 4, MOVE interrumpido por IR — evasión +60°"
5.517,6,Atta_6,"DEBUG: -1, ID: 6, MOVE interrumpido por IR — evasión +60°"
5.517,10,Atta_10,"DEBUG: -1, ID: 10, MOVE interrumpido por IR — evasión +60°"
5.88,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=-45.0° real=-42.6° err=-2.4° corr#0"
5.88,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=45.0° real=42.6° err=2.4° corr#0"
5.881,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=-45.0° real=-42.6° err=-2.4° corr#0"
5.948,1,Atta_1,"DEBUG: -1, ID: 1, MOVE interrumpido por IR — evasión +60°"
5.996,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
5.996,4,Atta_4,"DEBUG: -1, ID: 4, Movimiento completado"
5.996,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
6.269,2,Atta_2,"DEBUG: -1, ID: 2, MOVE interrumpido por IR — evasión +60°"
6.434,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
6.541,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
6.617,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=30.0° real=28.0° err=2.0° corr#0"
6.763,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
6.868,7,Atta_7,"DEBUG: -1, ID: 7, MOVE interrumpido por IR — evasión +60°"
7.159,8,Atta_8,"DEBUG: -1, ID: 8, MOVE interrumpido por IR — evasión +60°"
7.197,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
7.197,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
7.197,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
7.361,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
7.634,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=60.0° real=57.6° err=2.4° corr#0"
7.65,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
7.896,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-180.0° real=-177.2° err=-2.8° corr#0"
7.913,4,Atta_4,"DEBUG: -1, ID: 4, Movimiento completado"
7.913,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
7.913,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
7.951,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
8.106,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
8.199,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=135.0° real=132.3° err=2.7° corr#0"
8.348,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
8.552,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=60.0° real=57.3° err=2.7° corr#0"
8.695,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
8.828,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=60.0° real=57.2° err=2.8° corr#0"
9.105,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-60.0° real=-57.3° err=-2.7° corr#0"
9.16,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-45.0° real=-42.6° err=-2.4° corr#0"
9.286,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
9.572,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=90.0° real=87.5° err=2.5° corr#0"
9.573,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
9.602,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
9.652,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-45.0° real=-42.7° err=-2.3° corr#0"
10.06,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=90.0° real=87.8° err=2.2° corr#0"
10.254,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-135.0° real=-132.4° err=-2.6° corr#0"
10.333,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-30.0° real=-27.0° err=-3.0° corr#0"
10.395,1,Atta_1,"DEBUG: -1, ID: 1, MOVE interrumpido por IR — evasión -60°"
10.473,8,Atta_8,"DEBUG: -1, ID: 8, MOVE interrumpido por IR — evasión +60°"
10.533,3,Atta_3,"DEBUG: -1, ID: 3, MOVE interrumpido por IR — evasión +60°"
10.785,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=90.0° real=87.5° err=2.5° corr#0"
10.881,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
10.881,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-60.0° real=-57.2° err=-2.8° corr#0"
10.955,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=180.0° real=177.3° err=2.7° corr#0"
10.969,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
11.018,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
11.075,5,Atta_5,"DEBUG: -1, ID: 5, MOVE interrumpido por IR — evasión -60°"
11.274,6,Atta_6,"DEBUG: -1, ID: 6, MOVE interrumpido por IR — evasión +60°"
