time,idrobot,robot,message
0.001,1,Atta_1,"DEBUG: -1, ID: 1, Atta_1 listo en puerto 6061"
0.002,2,Atta_2,"DEBUG: -1, ID: 2, Atta_2 listo en puerto 6062"
0.003,3,Atta_3,"DEBUG: -1, ID: 3, Atta_3 listo en puerto 6063"
0.003,4,Atta_4,"DEBUG: -1, ID: 4, Atta_4 listo en puerto 6064"
0.003,6,Atta_6,"DEBUG: -1, ID: 6, Atta_6 listo en puerto 6066"
0.003,7,Atta_7,"DEBUG: -1, ID: 7, Atta_7 listo en puerto 6067"
0.003,5,Atta_5,"DEBUG: -1, ID: 5, Atta_5 listo en puerto 6065"
0.003,8,Atta_8,"DEBUG: -1, ID: 8, Atta_8 listo en puerto 6068"
0.004,10,Atta_10,"DEBUG: -1, ID: 10, Atta_10 listo en puerto 6070"
0.004,9,Atta_9,"DEBUG: -1, ID: 9, Atta_9 listo en puerto 6069"
0.004,1,Atta_1,"DEBUG: -1, ID: 1, arena=3800x2800mm"
0.004,2,Atta_2,"DEBUG: -1, ID: 2, arena=3800x2800mm"
0.004,4,Atta_4,"DEBUG: -1, ID: 4, arena=3800x2800mm"
0.004,3,Atta_3,"DEBUG: -1, ID: 3, arena=3800x2800mm"
0.005,5,Atta_5,"DEBUG: -1, ID: 5, arena=3800x2800mm"
0.005,6,Atta_6,"DEBUG: -1, ID: 6, arena=3800x2800mm"
0.005,10,Atta_10,"DEBUG: -1, ID: 10, arena=3800x2800mm"
0.005,9,Atta_9,"DEBUG: -1, ID: 9, arena=3800x2800mm"
0.005,7,Atta_7,"DEBUG: -1, ID: 7, arena=3800x2800mm"
0.005,8,Atta_8,"DEBUG: -1, ID: 8, arena=3800x2800mm"
1.303,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.303,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.304,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.316,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-90.0° real=-87.8° err=-2.2° corr#0"
3.723,1,Atta_1,"DEBUG: -1, ID: 1, ir_range=0.05m"
3.723,2,Atta_2,"DEBUG: -1, ID: 2, ir_range=0.05m"
3.723,6,Atta_6,"DEBUG: -1, ID: 6, ir_range=0.05m"
3.723,4,Atta_4,"DEBUG: -1, ID: 4, ir_range=0.05m"
3.723,3,Atta_3,"DEBUG: -1, ID: 3, ir_range=0.05m"
3.723,5,Atta_5,"DEBUG: -1, ID: 5, ir_range=0.05m"
3.723,8,Atta_8,"DEBUG: -1, ID: 8, ir_range=0.05m"
3.723,9,Atta_9,"DEBUG: -1, ID: 9, ir_range=0.05m"
3.723,7,Atta_7,"DEBUG: -1, ID: 7, ir_range=0.05m"
3.723,10,Atta_10,"DEBUG: -1, ID: 10, ir_range=0.05m"
4.713,4,Atta_4,"DEBUG: -1, ID: 4, Random walk: 60s"
4.714,2,Atta_2,"DEBUG: -1, ID: 2, Random walk: 60s"
4.714,1,Atta_1,"DEBUG: -1, ID: 1, Random walk: 60s"
4.714,6,Atta_6,"DEBUG: -1, ID: 6, Random walk: 60s"
4.714,3,Atta_3,"DEBUG: -1, ID: 3, Random walk: 60s"
4.714,5,Atta_5,"DEBUG: -1, ID: 5, Random walk: 60s"
4.714,7,Atta_7,"DEBUG: -1, ID: 7, Random walk: 60s"
4.714,8,Atta_8,"DEBUG: -1, ID: 8, Random walk: 60s"
4.714,9,Atta_9,"DEBUG: -1, ID: 9, Random walk: 60s"
4.714,10,Atta_10,"DEBUG: -1, ID: 10, Random walk: 60s"
5.326,4,Atta_4,"DEBUG: -1, ID: 4, MOVE interrumpido por IR — evasión +60°"
5.327,10,Atta_10,"DEBUG: -1, ID: 10, MOVE interrumpido por IR — evasión +60°"
5.65,5,Atta_5,"DEBUG: -1, ID: 5, MOVE interrumpido por IR — evasión +60°"
5.688,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-45.0° real=-42.6° err=-2.4° corr#0"
5.79,1,Atta_1,"DEBUG: -1, ID: 1, MOVE interrumpido por IR — evasión +60°"
5.836,4,Atta_4,"DEBUG: -1, ID: 4, Movimiento completado"
5.836,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
5.907,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=60.0° real=57.2° err=2.8° corr#0"
5.924,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
5.979,6,Atta_6,"DEBUG: -1, ID: 6, MOVE interrumpido por IR — evasión +60°"
6.116,2,Atta_2,"DEBUG: -1, ID: 2, MOVE interrumpido por IR — evasión +60°"
6.155,5,Atta_5,"DEBUG: -1, ID: 5, Movimiento completado"
