time,idrobot,robot,message
0.001,1,Atta_1,"DEBUG: -1, ID: 1, Atta_1 listo en puerto 6061"
0.002,3,Atta_3,"DEBUG: -1, ID: 3, Atta_3 listo en puerto 6063"
0.002,2,Atta_2,"DEBUG: -1, ID: 2, Atta_2 listo en puerto 6062"
0.002,5,Atta_5,"DEBUG: -1, ID: 5, Atta_5 listo en puerto 6065"
0.002,4,Atta_4,"DEBUG: -1, ID: 4, Atta_4 listo en puerto 6064"
0.002,7,Atta_7,"DEBUG: -1, ID: 7, Atta_7 listo en puerto 6067"
0.002,6,Atta_6,"DEBUG: -1, ID: 6, Atta_6 listo en puerto 6066"
0.003,8,Atta_8,"DEBUG: -1, ID: 8, Atta_8 listo en puerto 6068"
0.003,9,Atta_9,"DEBUG: -1, ID: 9, Atta_9 listo en puerto 6069"
0.003,10,Atta_10,"DEBUG: -1, ID: 10, Atta_10 listo en puerto 6070"
0.003,1,Atta_1,"DEBUG: -1, ID: 1, arena=3800x2800mm"
0.003,2,Atta_2,"DEBUG: -1, ID: 2, arena=3800x2800mm"
0.004,4,Atta_4,"DEBUG: -1, ID: 4, arena=3800x2800mm"
0.004,3,Atta_3,"DEBUG: -1, ID: 3, arena=3800x2800mm"
0.004,5,Atta_5,"DEBUG: -1, ID: 5, arena=3800x2800mm"
0.004,8,Atta_8,"DEBUG: -1, ID: 8, arena=3800x2800mm"
0.004,7,Atta_7,"DEBUG: -1, ID: 7, arena=3800x2800mm"
0.005,6,Atta_6,"DEBUG: -1, ID: 6, arena=3800x2800mm"
0.005,10,Atta_10,"DEBUG: -1, ID: 10, arena=3800x2800mm"
0.005,9,Atta_9,"DEBUG: -1, ID: 9, arena=3800x2800mm"
1.38,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.38,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.38,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.381,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.381,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.381,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.381,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.381,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.381,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.399,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-90.0° real=-87.8° err=-2.2° corr#0"
3.832,1,Atta_1,"DEBUG: -1, ID: 1, ir_range=0.05m"
3.833,5,Atta_5,"DEBUG: -1, ID: 5, ir_range=0.05m"
3.833,6,Atta_6,"DEBUG: -1, ID: 6, ir_range=0.05m"
3.833,3,Atta_3,"DEBUG: -1, ID: 3, ir_range=0.05m"
3.833,7,Atta_7,"DEBUG: -1, ID: 7, ir_range=0.05m"
3.833,4,Atta_4,"DEBUG: -1, ID: 4, ir_range=0.05m"
3.833,2,Atta_2,"DEBUG: -1, ID: 2, ir_range=0.05m"
3.833,8,Atta_8,"DEBUG: -1, ID: 8, ir_range=0.05m"
3.833,10,Atta_10,"DEBUG: -1, ID: 10, ir_range=0.05m"
3.833,9,Atta_9,"DEBUG: -1, ID: 9, ir_range=0.05m"
4.826,3,Atta_3,"DEBUG: -1, ID: 3, Random walk: 60s"
4.827,5,Atta_5,"DEBUG: -1, ID: 5, Random walk: 60s"
4.827,2,Atta_2,"DEBUG: -1, ID: 2, Random walk: 60s"
4.827,7,Atta_7,"DEBUG: -1, ID: 7, Random walk: 60s"
4.827,1,Atta_1,"DEBUG: -1, ID: 1, Random walk: 60s"
4.827,6,Atta_6,"DEBUG: -1, ID: 6, Random walk: 60s"
4.827,4,Atta_4,"DEBUG: -1, ID: 4, Random walk: 60s"
4.827,9,Atta_9,"DEBUG: -1, ID: 9, Random walk: 60s"
4.827,8,Atta_8,"DEBUG: -1, ID: 8, Random walk: 60s"
4.827,10,Atta_10,"DEBUG: -1, ID: 10, Random walk: 60s"
5.409,6,Atta_6,"DEBUG: -1, ID: 6, MOVE interrumpido por IR — evasión +60°"
5.733,7,Atta_7,"DEBUG: -1, ID: 7, MOVE interrumpido por IR — evasión +60°"
5.764,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=45.0° real=42.6° err=2.4° corr#0"
5.853,1,Atta_1,"DEBUG: -1, ID: 1, MOVE interrumpido por IR — evasión +60°"
5.911,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
6.006,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
6.006,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
