time,idrobot,robot,message
7.256,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=135.0° real=132.4° err=2.6° corr#0"
7.498,4,Atta_4,"DEBUG: -1, ID: 4, Movimiento completado"
7.549,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
7.651,9,Atta_9,"DEBUG: -1, ID: 9, MOVE interrumpido por IR — evasión -60°"
7.862,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
7.94,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
7.94,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
7.94,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
8.153,5,Atta_5,"DEBUG: -1, ID: 5, Movimiento completado"
8.153,9,Atta_9,"DEBUG: -1, ID: 9, Movimiento completado"
8.278,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
8.456,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
8.607,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
8.667,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
8.681,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=60.0° real=57.3° err=2.7° corr#0"
8.913,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=30.0° real=28.0° err=2.0° corr#0"
8.927,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=45.0° real=42.7° err=2.3° corr#0"
8.927,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-45.0° real=-42.7° err=-2.3° corr#0"
9.159,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=60.0° real=57.3° err=2.7° corr#0"
9.356,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-60.0° real=-57.3° err=-2.7° corr#0"
9.429,4,Atta_4,"DEBUG: -1, ID: 4, Movimiento completado"
9.568,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-45.0° real=-42.7° err=-2.3° corr#0"
9.628,9,Atta_9,"DEBUG: -1, ID: 9, MOVE interrumpido por IR — evasión -60°"
9.714,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=75.0° real=73.0° err=2.0° corr#0"
9.839,8,Atta_8,"DEBUG: -1, ID: 8, MOVE interrumpido por IR — evasión +60°"
9.858,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
10.14,9,Atta_9,"DEBUG: -1, ID: 9, Movimiento completado"
10.146,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
10.281,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
10.52,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
10.691,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
10.809,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-45.0° real=-43.1° err=-1.9° corr#0"
10.872,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
11.201,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
11.201,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-135.0° real=-132.4° err=-2.6° corr#0"
11.273,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-60.0° real=-57.2° err=-2.8° corr#0"
11.305,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
11.492,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=60.0° real=57.2° err=2.8° corr#0"
11.572,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-30.0° real=-27.8° err=-2.2° corr#0"
11.993,9,Atta_9,"DEBUG: -1, ID: 9, Movimiento completado"
12.093,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
12.187,10,Atta_10,"DEBUG: -1, ID: 10, MOVE interrumpido por IR — evasión +60°"
12.216,8,Atta_8,"DEBUG: -1, ID: 8, DEADLOCK (3 evasiones) — escape comprometido -95°"
12.402,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=-180.0° real=-177.2° err=-2.8° corr#0"
